competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,competênciaexc,indicadordeexclusão,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,,
202307,5,52,520870,M,7220700,1,251110,101,9,25,44,6,3,0,1,97,0,0,0,3000,4,0,1,202307,NA,NA,0,5,3000,,
202307,4,42,420420,N,8211300,-1,251110,101,7,24,44,6,3,0,1,31,0,0,0,1800,2,0,1,202307,NA,NA,0,5,1800,,
202307,2,26,261160,M,7020400,-1,251110,101,9,30,44,3,3,0,1,43,0,0,0,2888,31,4,0,1,202307,NA,NA,0,5,2888,31
202307,3,31,310620,N,7830200,1,251110,106,9,37,40,3,1,0,1,97,0,0,0,7860,1,9,0,1,202307,NA,NA,0,5,7860,1
202307,3,35,355030,N,8211300,1,251110,101,9,45,44,6,1,0,1,97,0,0,0,2700,1,0,1,202307,NA,NA,0,5,2700,,
202307,3,35,355030,F,4399101,-1,251110,101,9,32,44,1,1,0,1,31,0,0,0,4500,4,0,1,202307,NA,NA,0,5,4500,,
202307,5,53,530010,N,8211300,1,251110,101,7,23,44,6,1,0,1,97,0,0,0,1800,4,0,1,202307,NA,NA,0,5,1800,,
202307,3,35,355030,N,8211300,1,251110,101,9,26,44,6,3,0,1,97,0,0,0,2700,1,0,1,202307,NA,NA,0,5,2700,,
202307,5,52,520870,M,7220700,1,251110,101,9,24,44,6,3,0,1,97,0,0,0,4000,4,0,1,202307,NA,NA,0,5,4000,,
202307,3,35,355030,G,4751201,1,251110,101,9,27,44,6,1,0,1,97,0,0,0,3100,4,0,1,202307,NA,NA,0,5,3100,,
202307,5,52,520870,M,7220700,1,251110,101,9,30,44,6,1,0,1,97,0,0,0,4000,4,0,1,202307,NA,NA,0,5,4000,,
202307,3,31,310620,N,8291100,1,251110,101,7,51,40,1,1,0,1,97,0,0,0,1200,2,0,1,202307,NA,NA,0,5,1200,,
202307,5,53,530010,M,7112000,1,251110,101,9,33,44,1,3,0,1,97,0,0,0,5050,51,6,0,1,202307,NA,NA,0,5,5050,51
202307,5,53,530010,M,6920602,-1,251110,101,9,30,44,1,3,0,1,31,0,0,0,3200,2,0,1,202307,NA,NA,0,5,3200,,
202307,3,35,355030,N,8211300,1,251110,101,9,29,44,6,1,0,1,97,0,0,0,2700,1,0,1,202307,NA,NA,0,5,2700,,
202307,5,53,530010,M,7112000,-1,251110,101,9,24,44,1,1,0,1,31,0,0,0,3787,89,6,0,1,202307,NA,NA,0,5,3787,89
