"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro..SM.";"Vl.Remun.Média.Nom";"Vl.Remun.Média..SM.";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.SC";"Vl.Rem.Fevereiro.SC";"Vl.Rem.Março.SC";"Vl.Rem.Abril.SC";"Vl.Rem.Maio.SC";"Vl.Rem.Junho.SC";"Vl.Rem.Julho.SC";"Vl.Rem.Agosto.SC";"Vl.Rem.Setembro.SC";"Vl.Rem.Outubro.SC";"Vl.Rem.Novembro.SC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial"
9997;9997;9997;99;99;99;0;251110;69206;74128;9997;1;4;6;6;4;4;9;44;29;0;1;10;"{ñ";520551;530010;"10";2062;0;0;2;9997;3662,22;3,02;3238,52;2,67;6920602;2;2;14,1;0;1;"CNPJ";0;10;19;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;1198;0;0
9997;9997;9997;99;99;99;0;251110;84116;75116;9997;1;7;5;11;10;8;11;40;53;0;0;7;"{ñ";520870;530010;"10";1015;0;0;99;1;21824,54;18;21472,87;17,71;8411600;2;10;137,3;0;1;"CNPJ";0;30;24;18684,15;20431,31;21116,84;20774,08;20174,23;21116,84;21116,84;21116,84;21116,84;27298,87;22903,13;0;0;0
9997;9997;9997;99;99;99;11;251110;47521;52450;9997;0;3;6;0;98;6;7;44;24;0;0;12;"03";315170;315170;"10";2062;0;0;9;9997;0;0;0;0;4752100;1;2;51;0;1;"CNPJ";0;10;16;0;0;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;11;251110;82911;74993;9997;0;7;5;0;1;3;7;40;51;0;1;1;"12";310620;310620;"10";2062;0;0;2;9997;1212;1;1180;0,97;8291100;1;2;11,7;2;1;"CNPJ";0;10;19;840;1200;1212;1212;1212;1212;1212;1212;1212;1212;1212;1198;0;0
9997;9997;9997;99;99;99;90;251110;71197;74209;9997;0;5;6;0;6;6;9;44;32;0;0;11;"11";354780;310620;"10";2062;0;0;8;9997;0;0;5586,36;4,6;7119702;1;5;48,2;0;1;"CNPJ";0;10;19;5730;5730;5730;5730;5730;5730;6370,72;6756,19;5730;5730;2483;1198;0;0
9997;9997;9997;99;99;99;90;251110;71197;74209;9997;0;6;6;0;6;3;9;44;43;0;0;9;"03";310620;310620;"10";2062;0;0;2;9997;0;0;5093,98;4,2;7119702;1;5;6,3;0;1;"CNPJ";0;10;19;5038;5038;5205,93;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;11;251110;71120;74209;9997;0;5;5;0;2;1;9;40;32;0;0;11;"01";410690;310620;"10";2151;0;0;8;9997;0;0;1378,67;1,13;7112000;2;5;2,3;0;1;"CNPJ";0;60;19;1378,67;0;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;0;251110;1156;999;9997;1;3;6;99;98;4;7;44;21;0;0;7;"{ñ";314980;314980;"10";9999;0;0;9;9997;0;0;0;0;115600;1;2;18;0;5;"CAEPF";0;15;25;0;0;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;40;99;99;0;251110;47440;52442;9997;1;7;6;6;4;8;7;44;52;0;1;6;"{ñ";310620;310620;"10";2062;0;10;8;9997;3800,76;3,13;3414,23;2,81;4744002;1;3;187;0;1;"CNPJ";0;10;16;3230,38;3128,4;3149,82;3369,09;3379,45;3378,31;3317,72;4106,5;3402,55;3362,93;3344,83;1198;0;0
9997;9997;9997;40;40;99;0;251110;85996;80993;9997;1;5;6;8;6;7;9;44;36;0;1;5;"{ñ";310620;310620;"10";2240;0;17;2;9997;6130;5,05;5460,29;4,5;8599699;1;2;103,9;0;1;"CNPJ";0;10;23;4920,18;5029,52;6286,89;4920,18;4920,18;4920,18;4920,18;4920,18;5462,38;7631,18;5462,38;1198;0;0
