competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202406;3;31;310620;M;7220700;1;251110;101;11;42;44;1;1;0;1;97;0;0;0;5800;3;0;1;202406;NA;NA;0;5;5800
202406;2;26;261160;M;7490199;1;251110;101;10;33;44;3;3;0;1;97;0;0;0;4300;2;0;1;202406;NA;NA;0;5;4300
202407;5;52;520870;M;7220700;-1;251110;101;9;24;44;2;3;0;1;31;0;0;0;3338;6;0;1;202407;NA;NA;0;5;3338
202407;3;35;355030;M;7112000;-1;251110;101;9;26;44;3;3;0;1;31;0;0;0;3282,33;10;0;1;202407;NA;NA;0;5;3282,33
202407;2;26;261160;P;8513900;1;251110;101;9;35;40;3;3;0;1;97;0;0;0;5000;7;0;1;202407;NA;NA;0;5;5000
202407;4;43;430700;M;7220700;1;251110;101;9;38;44;1;1;0;1;97;0;0;0;2500;3;0;1;202407;NA;NA;0;5;2500
202407;5;52;520870;M;7220700;-1;251110;101;9;35;44;3;3;0;1;43;0;0;0;4771;6;0;1;202407;NA;NA;0;5;4771
202407;2;28;280030;M;7210000;-1;251110;101;10;36;40;3;1;0;1;31;0;0;0;6292,04;6;0;1;202407;NA;NA;0;5;6292,04
202407;5;52;520870;M;7220700;-1;251110;101;9;31;44;1;1;0;1;43;0;0;0;4771;6;0;1;202407;NA;NA;0;5;4771
202407;2;22;221060;R;9102301;1;251110;101;9;37;44;1;3;0;1;97;0;0;0;6320;5;0;1;202407;NA;NA;0;5;6320
202407;3;35;351518;M;7220700;1;251110;101;7;23;44;1;3;0;1;97;0;0;0;3500;2;0;1;202407;NA;NA;0;5;3500
202407;2;23;230440;M;7220700;-1;251110;101;9;27;44;3;1;0;1;40;0;0;0;3000;2;0;1;202407;NA;NA;0;5;3000
202407;2;26;261160;M;7490199;1;251110;101;9;33;44;2;3;0;1;97;0;0;0;4300;2;0;1;202407;NA;NA;0;5;4300
202404;2;22;221100;F;4212000;-1;251110;101;9;54;44;3;1;0;1;31;0;0;0;4897;5;0;1;202404;202408;1;0;5;4897
202408;2;29;291320;F;4221902;1;251110;101;9;31;44;3;1;0;1;97;0;0;0;4000;7;0;1;202408;NA;NA;0;5;4000
202408;2;26;261160;M;7490199;-1;251110;101;7;33;44;1;3;0;1;40;0;0;0;4300;2;0;1;202408;NA;NA;0;5;4300
202408;3;35;350600;F;4211101;1;251110;101;9;26;44;1;1;0;1;97;0;0;0;2460;10;0;1;202408;NA;NA;0;5;2460
202408;3;35;355030;M;7111100;1;251110;101;10;30;44;1;3;0;1;97;0;0;0;5402;6;0;1;202408;NA;NA;0;5;5402
202408;5;52;520870;M;7220700;-1;251110;101;9;36;44;3;3;0;1;31;0;0;0;5461;6;0;1;202408;NA;NA;0;5;5461
202408;3;35;355030;M;7112000;1;251110;101;8;22;44;2;3;0;1;97;0;0;0;3500;10;0;1;202408;NA;NA;0;5;3500
202408;2;29;292740;M;7220700;1;251110;101;11;46;30;1;1;0;1;97;0;0;0;7000;2;0;1;202408;NA;NA;0;5;7000
202408;2;26;261160;M;7020400;-1;251110;101;9;38;44;3;3;0;1;43;0;0;0;2310;4;0;1;202408;NA;NA;0;5;2310
202408;3;35;351518;M;7220700;-1;251110;101;7;23;44;1;3;0;1;43;0;0;0;3500;2;0;1;202408;NA;NA;0;5;3500
202408;5;52;520870;M;7220700;1;251110;101;9;27;44;1;1;0;1;97;0;0;0;4771;6;0;1;202408;NA;NA;0;5;4771
202408;2;26;261160;M;7020400;1;251110;101;7;34;44;3;3;0;1;97;0;0;0;3871,91;4;0;1;202408;NA;NA;0;5;3871,91
202408;4;43;430700;M;7220700;1;251110;101;9;25;44;1;3;0;1;97;0;0;0;2500;3;0;1;202408;NA;NA;0;5;2500
202408;3;35;350600;F;4211101;-1;251110;101;9;26;44;1;1;0;1;40;0;0;0;2460;10;0;1;202408;NA;NA;0;5;2460
202408;5;52;520870;M;7220700;1;251110;101;9;29;44;1;3;0;1;97;0;0;0;4771;6;0;1;202408;NA;NA;0;5;4771
202408;2;29;292530;S;9430800;-1;251110;101;9;47;40;3;3;0;1;31;0;0;0;6068;4;0;1;202408;NA;NA;0;5;6068
202408;3;35;354780;M;7220700;1;251110;111;9;32;44;1;1;0;1;97;0;1;0;3740;1;0;1;202408;NA;NA;0;1;17
202408;3;33;330320;G;4782201;1;251110;101;7;27;44;3;3;0;1;97;0;0;0;0;1;0;1;202408;NA;NA;0;7;0
202408;3;35;355030;M;7112000;1;251110;101;80;30;44;1;3;0;1;97;0;0;0;3500;10;0;1;202408;NA;NA;0;5;3500
202408;3;35;355030;J;6311900;1;251110;101;80;40;40;3;1;0;1;97;0;0;0;30000;7;0;1;202408;NA;NA;0;5;30000
202408;5;52;520870;M;7220700;-1;251110;101;9;28;44;1;3;0;1;31;0;0;0;4771;6;0;1;202408;NA;NA;0;5;4771
202408;5;52;520870;M;7220700;-1;251110;101;9;33;44;3;1;0;1;31;0;0;0;4771;6;0;1;202408;NA;NA;0;5;4771
202408;3;31;310620;M;7112000;-1;251110;101;10;35;44;3;3;0;1;31;0;0;0;4971,09;5;0;1;202408;NA;NA;0;5;4971,09
202408;4;43;430700;M;7220700;-1;251110;101;9;26;44;1;3;0;1;40;0;0;0;2916,15;3;0;1;202408;NA;NA;0;5;2916,15
202408;3;35;354780;M;7220700;1;251110;111;9;36;44;3;1;0;1;97;0;1;0;3740;1;0;1;202408;NA;NA;0;1;17
202408;5;52;520870;N;8211300;-1;251110;101;11;61;44;3;3;0;1;31;0;0;0;14630;6;0;1;202408;NA;NA;0;5;14630
202408;3;33;330455;M;7220700;-1;251110;111;9;28;44;1;3;0;1;40;0;1;0;3359,4;5;0;1;202408;NA;NA;0;1;15,27
202408;3;35;354780;M;7220700;1;251110;111;9;33;44;1;1;0;1;97;0;1;0;3740;1;0;1;202408;NA;NA;0;1;17
202408;2;26;260640;M;6920602;1;251110;101;9;37;44;3;3;0;1;97;0;0;0;1827,71;5;0;1;202408;NA;NA;0;5;1827,71
202408;2;26;261160;M;7020400;-1;251110;101;9;31;44;1;3;0;1;40;0;0;0;3871,91;4;0;1;202408;NA;NA;0;5;3871,91
202409;3;35;355030;M;7111100;-1;251110;101;9;26;44;1;1;0;1;31;0;0;0;5402;6;0;1;202409;NA;NA;0;5;5402
202409;2;28;280030;M;7210000;1;251110;101;10;37;40;1;1;0;1;97;0;0;0;4568,67;6;0;1;202409;NA;NA;0;5;4568,67
202409;2;29;291320;F;4221902;-1;251110;101;9;31;44;3;1;0;1;43;0;0;0;4000;7;0;1;202409;NA;NA;0;5;4000
202409;4;42;420890;M;7112000;-1;251110;101;9;36;41;3;1;0;1;31;0;0;0;5565,75;4;0;1;202409;NA;NA;0;5;5565,75
202409;4;41;410480;M;7220700;1;251110;101;7;25;44;1;1;0;1;97;0;0;0;3500;1;0;1;202409;NA;NA;0;5;3500
202409;3;35;354780;M;7220700;-1;251110;111;9;36;44;3;1;0;1;31;0;1;0;3740;1;0;1;202409;NA;NA;0;1;17
202409;3;35;355030;M;7112000;1;251110;101;9;46;44;3;3;0;1;97;0;0;0;2500;2;0;1;202409;NA;NA;0;5;2500
202409;2;23;230440;M;7220700;1;251110;101;9;24;44;3;1;0;1;97;0;0;0;3500;2;0;1;202409;NA;NA;0;5;3500
202409;1;15;150140;G;4772500;-1;251110;101;7;27;42;3;3;0;1;40;0;0;0;1412;1;0;1;202409;NA;NA;0;5;1412
202409;2;26;261160;M;7490199;1;251110;101;7;19;44;3;1;0;1;97;0;0;0;1600;6;0;1;202409;NA;NA;0;5;1600
202409;3;35;355030;H;4930202;-1;251110;101;80;41;44;1;1;0;1;31;0;0;0;14494,44;5;0;1;202409;NA;NA;0;5;14494,44
202409;2;26;261160;M;7490199;1;251110;101;7;21;44;3;1;0;1;97;0;0;0;1600;6;0;1;202409;NA;NA;0;5;1600
